Timestamp,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Traffic_Light_State,Weather_Condition,Accident_Report,Traffic_Condition,Hour,DayOfWeek,Date
2024-03-01 00:00:00,205,49.8934348,82.65277993,Yellow,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:05:00,202,22.38396487,45.8292978,Green,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:10:00,252,46.88969944,82.7724648,Green,Rain,0,High,0,Friday,2024-03-01
2024-03-01 00:15:00,37,5.730536423,37.69556744,Red,Fog,0,High,0,Friday,2024-03-01
2024-03-01 00:20:00,64,61.34803436,22.31335795,Red,Fog,0,Low,0,Friday,2024-03-01
2024-03-01 00:25:00,125,9.150745621,72.79990343,Green,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:30:00,125,9.162774286,34.18201801,Green,Fog,0,High,0,Friday,2024-03-01
2024-03-01 00:35:00,130,40.9936224,40.42793232,Yellow,Clear,0,Medium,0,Friday,2024-03-01
2024-03-01 00:40:00,67,73.90533684,80.60737469,Green,Clear,0,High,0,Friday,2024-03-01
2024-03-01 00:45:00,12,65.53559165,47.11495675,Green,Fog,0,Low,0,Friday,2024-03-01
2024-03-01 00:50:00,117,60.48137718,56.00173845,Green,Fog,0,Medium,0,Friday,2024-03-01
2024-03-01 00:55:00,12,38.7398743,69.65316331,Green,Fog,0,Medium,0,Friday,2024-03-01
2024-03-01 01:00:00,97,61.94792468,17.32821125,Red,Fog,0,Low,1,Friday,2024-03-01
2024-03-01 01:05:00,265,64.42220656,94.97458763,Yellow,Rain,0,High,1,Friday,2024-03-01
2024-03-01 01:10:00,187,24.43589569,47.48922186,Red,Rain,0,Medium,1,Friday,2024-03-01
2024-03-01 01:15:00,139,21.67302311,45.85708774,Red,Clear,0,Medium,1,Friday,2024-03-01
2024-03-01 01:20:00,298,39.81468027,73.00334765,Green,Fog,0,High,1,Friday,2024-03-01
2024-03-01 01:25:00,168,71.17270014,90.33113551,Red,Fog,0,High,1,Friday,2024-03-01
2024-03-01 01:30:00,188,50.22358936,85.22206471,Yellow,Rain,0,High,1,Friday,2024-03-01
2024-03-01 01:35:00,176,19.51636299,89.38515987,Green,Fog,0,High,1,Friday,2024-03-01
2024-03-01 01:40:00,38,60.81684312,48.55435921,Red,Clear,0,Low,1,Friday,2024-03-01
2024-03-01 01:45:00,113,36.09859482,82.04990255,Green,Clear,0,High,1,Friday,2024-03-01
2024-03-01 01:50:00,56,57.38454322,24.76400019,Green,Rain,0,Low,1,Friday,2024-03-01
2024-03-01 01:55:00,114,79.99755568,25.02061512,Yellow,Rain,0,Medium,1,Friday,2024-03-01
2024-03-01 02:00:00,17,71.09147218,78.95197163,Yellow,Clear,0,Medium,2,Friday,2024-03-01
2024-03-01 02:05:00,80,47.49605859,63.05449092,Red,Clear,0,Medium,2,Friday,2024-03-01
2024-03-01 02:10:00,231,26.9155953,24.62641256,Yellow,Fog,0,High,2,Friday,2024-03-01
2024-03-01 02:15:00,175,74.60523206,92.46344884,Red,Clear,0,High,2,Friday,2024-03-01
2024-03-01 02:20:00,188,15.56714847,54.77980321,Green,Fog,0,High,2,Friday,2024-03-01
2024-03-01 02:25:00,167,48.5824889,39.12002347,Green,Rain,0,Medium,2,Friday,2024-03-01
2024-03-01 02:30:00,91,77.6258624,39.7248796,Yellow,Fog,0,Low,2,Friday,2024-03-01
